"","Salary","Age","G","MP","mean_views","PTS","GS","X3P.","X2P.","FT.","PF","STL","BLK","TOV","Play","Season","Pos1"
"2",2700000,32,65,13.8,11.155737704918,5,0,0.375,0.424,0.8,1.4,0.4,0.1,1,0,1,3
"3",4351320,21,80,28.7,1713.98633879781,12.7,72,0.288,0.528,0.719,2.2,0.8,0.5,1.1,0,1,4
"4",2022240,25,18,7.5,205.855191256831,3.5,0,0.2,0.513,0.737,1.8,0.4,0.4,0.4,0,1,2
"5",7680965,26,61,29.1,604.341530054645,8.7,25,0.33,0.445,0.706,1.7,1,0.7,1.5,0,1,2
"6",26540100,30,68,32.3,1556.3825136612,14,68,0.355,0.524,0.8,2,0.8,1.3,1.7,0,1,1
"7",10230179,32,66,14.1,603.188524590164,8.1,1,0,0.5,0.765,1.9,0.3,0.2,0.5,0,1,1
"8",1315448,34,30,10.3,5.40934065934066,2.9,0,0.318,0.444,0.75,1.2,0.1,0,0.2,0,1,4
"9",874636,24,47,15.1,21.2131147540984,7.4,0,0,0.519,0.625,2.7,0.6,0.7,0.8,0,1,1
"10",9904495,25,42,15.5,122.505464480874,6.7,0,0.329,0.43,0.769,1.2,0.4,0.1,0.8,0,1,5
"11",5994764,23,68,15.5,8.31147540983607,6,6,0.381,0.426,0.898,1.7,0.5,0.1,0.5,0,1,5
"12",4823621,23,77,20.3,316.685792349727,8,34,0.25,0.503,0.721,3.1,0.5,1.3,1.3,0,1,1
"13",4863206,28,39,15,4.91530054644809,5.3,15,0,0.511,0.725,2,0.5,0.6,0.8,0,1,1
"14",18500000,24,79,28.5,382.051912568306,10.7,7,0.444,0.49,0.847,2.2,0.7,0.3,0.8,0,1,5
"15",2255408,29,13,6.8,129.986338797814,0.8,0,0,0.273,0.556,1.1,0.4,0.1,0.3,0,1,4
"16",12000000,29,80,20.1,371.795081967213,6.5,77,0.409,0.612,0.67,2.6,0.6,0.8,1,0,1,2
"18",22116750,23,81,29.7,1249.84426229508,13.6,81,0.286,0.532,0.386,2.9,1.5,1.1,1.9,0,1,1
"19",11131368,33,76,26.3,3224.45628415301,7.6,0,0.362,0.651,0.706,1.3,1,0.5,0.8,0,1,4
"20",2183072,25,79,30.1,10.1010928961749,6.6,79,0.245,0.609,0.423,2.6,1.2,1,0.6,0,1,4
"21",11410378,32,27,21.6,2397.75136612022,2.9,21,0,0.475,0.273,3.2,0.5,0.9,1.6,0,1,1
"22",945000,22,72,20.5,5.94808743169399,5.9,18,0.276,0.363,0.763,2.7,0.7,0.3,1.2,0,1,3
"23",6088993,27,38,9,3.61281337047354,2.6,0,0.185,0.452,0.643,1.4,0.4,0.2,0.4,0,1,2
"24",6006600,21,82,37.2,2150.2131147541,23.6,82,0.356,0.473,0.76,2.2,1,0.4,2.3,0,1,4
"25",22116750,23,75,36.1,101.918032786885,28,75,0.299,0.524,0.802,2.2,1.3,2.2,2.4,1,1,1
"26",3488000,31,49,14.6,267.330601092896,5.5,7,0.308,0.479,0.919,0.9,0.5,0,0.1,0,1,5
"27",8000000,31,65,22.7,155.950819672131,7.1,9,0.391,0.537,0.744,1.7,0.5,0.3,0.9,0,1,2
"30",12500000,31,61,25.9,440.893442622951,8.4,45,0.411,0.457,0.892,1.7,0.3,0.1,0.7,0,1,5
"31",11000000,24,74,27.8,830.166666666667,12,29,0.371,0.491,0.691,2.5,0.6,0.1,1.6,0,1,5
"32",8269663,26,55,33.4,468.612021857923,16.3,55,0.39,0.504,0.731,2.6,1.2,0.2,1.6,0,1,5
"33",4008882,23,61,19.3,332.713114754098,8.1,26,0.382,0.462,0.753,1.8,0.5,0.1,1,0,1,5
"34",980431,34,39,14.4,232.770491803279,5.8,0,0.344,0.491,0.941,0.7,0.3,0,0.9,0,1,3
"36",20093064,27,61,34,2700.96994535519,21.6,61,0.336,0.514,0.76,2.6,0.9,0.4,2.3,0,1,2
"39",1404600,21,64,15.6,304.147540983607,6.8,13,0.333,0.541,0.661,1.5,0.3,0.2,0.6,0,1,2
"40",3573020,27,81,25.7,6.04644808743169,13.7,54,0.367,0.512,0.893,1.8,0.4,0.1,1.6,0,1,4
"41",7000000,34,73,17.6,695.046448087432,4.6,33,0.247,0.512,0.743,1.1,0.2,0.1,1.2,0,1,2
"42",22116750,23,77,34.9,496.729508196721,23.1,77,0.404,0.538,0.825,2.2,1.1,0.3,2,0,1,5
"43",5709880,29,28,16,166.098360655738,6.8,5,0,0.619,0.657,1.5,0.4,0.7,0.4,0,1,2
"44",1551659,31,52,11.1,269.193989071038,5.6,0,0.333,0.579,0.875,0.9,0.3,0.2,0.6,0,1,2
"45",5281680,19,79,28.8,2113.98087431694,9.4,40,0.294,0.443,0.621,2,0.6,0.5,1.5,0,1,4
"46",5587318,27,81,22.2,1263.24590163934,7.1,13,0.313,0.399,0.75,1.4,0.9,0,1.6,0,1,3
"47",12606250,25,54,21.1,10.9207650273224,11,5,0.324,0.425,0.857,1.6,0.5,0.1,1.6,0,1,5
"48",3500000,31,47,21.9,663.371584699454,4.2,33,0.386,0.356,0.722,0.9,0.5,0.5,0.6,0,1,5
"51",21165675,28,75,29.6,880.010928961749,20.5,75,0.346,0.536,0.81,2.6,0.5,1.7,2.5,0,1,1
"53",543471,23,36,7.9,174.120218579235,2.6,0,0.321,0.413,0.833,0.6,0,0,0.3,0,1,5
