"Year","Month","Day_of_Week","Hour","Division","Location","Brand","Type","Speed","Colour","Cost","Status","Total_theft"
2022,1,7,16,41,1,1,4,11,2,2500,1,8
2022,1,3,18,13,1,2,4,12,5,2000,1,8
2022,1,6,13,14,1,2,1,1,1,350,1,9
2022,1,5,19,13,1,2,2,6,7,1500,1,14
2022,1,5,18,33,5,2,4,3,2,150,1,14
2022,1,6,16,51,1,1,4,30,7,450,1,9
2022,1,1,13,52,1,2,5,3,4,1200,1,4
2022,1,1,4,51,1,1,5,20,1,1439,1,4
2022,1,3,21,52,2,2,2,1,1,2000,1,8
2022,1,3,4,53,2,1,5,7,6,2900,3,8
2022,1,1,16,52,1,2,2,30,5,2846.47,1,4
2022,1,4,18,13,3,2,4,14,7,800,1,4
2022,1,5,13,14,5,2,5,21,1,650,1,14
2022,1,4,18,14,1,2,4,21,7,619.99,1,4
2022,1,6,16,51,3,2,1,3,1,1200,1,9
2022,1,5,22,51,1,2,5,11,5,4999,1,14
2022,1,1,10,52,1,2,2,7,5,2000,1,4
2022,1,3,20,51,3,2,4,20,2,250,1,8
2022,1,7,18,14,1,2,1,11,7,1500,1,8
2022,1,4,12,14,1,2,5,7,7,600,1,4
2022,1,7,13,52,1,2,2,21,8,1000,1,8
2022,1,3,16,12,1,2,1,21,3,350,1,8
2022,1,7,1,14,1,2,4,10,7,1200,1,8
2022,1,5,16,53,3,2,5,1,8,109.99,1,14
2022,1,2,3,52,1,2,1,10,7,500,1,2
2022,1,4,18,13,3,2,4,24,7,800,1,4
2022,1,5,15,51,2,2,5,1,1,2000,1,14
2022,1,3,15,22,1,2,1,20,7,2000,1,8
2022,1,5,22,51,2,2,2,1,1,1900,1,14
2022,1,5,15,51,2,2,2,7,1,2200,1,14
2022,1,5,16,55,2,2,1,18,8,2000,1,14
2022,1,5,19,51,1,2,1,12,8,2500,1,14
2022,1,7,14,52,1,2,4,24,1,700,1,8
2022,1,5,19,51,1,2,1,12,8,2500,1,14
2022,1,5,19,51,1,2,1,12,8,2500,1,14
2022,1,7,14,52,1,2,4,24,1,700,1,8
2022,2,2,16,22,5,2,1,1,3,400,3,19
2022,2,3,7,52,3,2,4,24,2,800,1,10
2022,2,2,22,52,2,2,2,32,7,2254.33,1,19
2022,2,5,11,55,5,2,2,1,7,5500,1,10
2022,2,5,18,41,1,2,5,18,8,1000,1,10
2022,2,5,11,55,5,2,2,30,2,5500,1,10
2022,2,3,18,52,2,2,4,22,2,200,1,10
2022,2,2,19,14,1,1,5,21,4,550,1,19
2022,2,2,19,14,2,1,5,9,1,868.97,1,19
2022,2,4,21,32,2,2,4,27,5,1200,1,5
2022,2,5,17,13,1,1,5,21,8,550,1,10
2022,2,5,19,53,2,2,4,27,8,1200,1,10
2022,2,1,18,55,5,2,2,1,1,5000,1,7
2022,2,4,11,51,1,2,5,22,8,1500,1,5
2022,2,7,18,51,5,2,2,48,4,3500,1,3
2022,2,1,13,52,4,2,5,20,1,700,1,7
2022,1,7,15,14,2,2,2,10,2,3300,1,8
2022,2,2,12,11,1,2,5,18,7,1200,1,19
2022,2,2,12,11,1,2,5,18,7,1200,1,19
2022,2,2,13,51,5,1,1,21,1,2000,1,19
2022,2,3,1,52,2,2,2,10,1,4300,1,10
2022,2,4,11,53,1,2,5,8,2,1500,1,5
2022,2,5,19,52,2,2,5,40,7,2500,1,10
2022,2,5,5,14,1,2,5,24,7,650,1,10
2022,2,1,9,51,2,1,1,12,1,1200,1,7
2022,2,5,20,31,1,2,4,18,8,500,1,10
2022,2,6,15,14,5,1,5,21,1,1200,1,5
2022,2,6,10,51,1,2,5,18,2,300,1,5
2022,2,6,18,52,2,2,2,1,1,1500,1,5
2022,2,1,9,51,2,2,1,50,1,1100,1,7
2022,1,6,12,51,1,2,4,40,7,400,1,9
2022,3,2,19,11,3,1,2,16,1,5500,1,24
2022,3,2,22,55,1,1,4,8,7,800,1,24
2022,3,4,5,52,1,2,4,27,6,800,1,21
2022,3,4,16,32,1,2,4,5,8,1000,1,21
2022,3,4,8,32,2,2,5,10,2,200,1,21
2022,3,5,12,52,2,2,2,1,1,2300,1,22
2022,3,5,17,51,2,2,2,1,7,30001,1,22
2022,3,5,12,52,2,2,2,40,1,2300,1,22
2022,3,3,17,33,1,2,5,20,4,300,1,13
2022,3,5,17,51,2,2,2,6,7,3000,1,22
2022,3,5,17,14,2,2,5,15,2,270,1,22
2022,3,6,4,55,5,2,1,10,7,300,1,10
2022,3,7,14,52,2,1,4,21,5,1500,1,20
2022,3,7,12,52,3,1,4,21,7,2000,1,20
2022,3,5,21,31,2,2,2,1,1,4000,1,22
2022,3,1,13,14,3,2,2,35,1,2500,1,15
2022,3,6,14,53,1,1,4,24,1,900,1,10
2022,3,2,17,55,5,1,4,3,2,700,1,24
2022,3,2,20,51,1,2,5,10,1,3000,1,24
2022,3,2,18,41,2,1,4,24,7,900,1,24
2022,3,3,12,55,5,1,5,12,2,100,1,13
2022,3,3,4,51,5,2,3,10,1,1500,1,13
2022,3,2,21,51,1,1,1,21,1,1800,1,24
2022,3,3,21,51,5,2,5,6,5,1400,1,13
2022,3,6,14,53,1,2,5,7,7,700,1,10
2022,3,4,15,32,1,1,4,21,1,360,1,21
2022,3,4,10,14,1,1,4,12,3,1500,1,21
2022,3,6,14,53,1,2,4,12,3,600,1,10
2022,3,2,17,53,1,2,1,7,7,1200,1,24
2022,3,2,16,52,5,1,5,16,5,739,1,24
2022,3,2,16,52,5,1,5,16,8,700,1,24
2022,3,3,3,55,1,2,5,6,1,500,1,13
2022,3,3,20,53,1,2,5,20,1,1200,1,13
2022,3,7,15,53,2,2,2,1,1,2500,1,20
2022,3,4,17,52,1,1,4,16,7,1000,1,21
2022,3,4,17,52,1,1,4,16,7,1000,1,21
2022,3,1,14,52,3,2,2,30,1,2000,1,15
2022,3,2,18,53,2,2,1,21,5,100,1,24
2022,3,1,19,14,1,2,4,21,5,1200,1,15
2022,3,7,11,55,5,1,4,10,8,300,1,20
2022,3,7,11,55,5,1,4,10,8,300,1,20
2022,3,3,2,22,1,2,5,27,7,1800,1,13
2022,3,3,17,22,2,2,4,21,1,629.99,1,13
2022,3,1,15,51,5,2,5,1,1,2000,1,15
2022,1,6,12,14,1,2,5,1,2,500,1,9
2022,3,5,14,52,2,2,2,50,7,2500,1,22
2022,3,4,14,11,1,2,1,7,1,800,1,21
2022,3,6,8,14,3,2,2,1,1,2000,1,10
2022,3,1,14,43,3,2,1,1,2,180,1,15
2022,3,6,16,55,1,1,4,10,8,1000,1,10
2022,3,5,14,52,2,2,2,5,1,25000,1,22
2022,3,7,17,52,1,1,4,21,4,703,1,20
2022,3,7,17,52,1,1,4,21,4,706.8,1,20
2022,3,5,12,14,1,2,5,18,5,130,1,22
2022,3,7,17,51,2,2,2,32,2,1699,1,20
2022,3,5,12,14,1,2,5,1,1,500,1,22
2022,3,1,18,52,2,2,2,1,1,3500,1,15
2022,3,2,12,32,1,1,1,22,1,6500,1,24
2022,3,2,12,32,1,2,3,2,2,1600,1,24
2022,3,2,19,52,1,2,2,1,1,1100,1,24
2022,3,1,19,11,1,2,4,24,2,600,1,15
2022,3,2,18,51,2,2,5,18,1,500,1,24
2022,3,3,10,52,2,2,2,6,7,3500,1,13
2022,3,2,10,52,1,2,1,3,1,800,1,24
2022,3,4,19,32,1,2,4,10,7,950,1,21
2022,3,7,8,22,1,2,3,6,1,50,1,20
2022,3,6,18,14,1,1,5,10,1,1500,1,10
2022,3,5,14,32,1,2,4,21,7,1000,1,22
2022,3,4,11,52,3,1,5,20,4,1500,1,21
2022,3,4,18,52,2,1,2,1,1,2000,1,21
2022,3,5,20,13,2,2,2,6,7,2000,1,22
2022,3,2,18,52,1,2,2,1,1,5540,1,24
2022,3,1,1,55,2,2,2,1,1,3500,1,15
2022,3,5,8,52,4,2,1,27,1,1500,1,22
2022,3,5,14,51,1,1,5,1,4,800,1,22
2022,3,7,8,52,1,2,5,1,7,750,1,20
2022,3,6,19,14,2,2,5,12,3,200,1,10
2022,3,7,20,41,3,2,4,12,6,700,1,20
2022,3,7,10,52,2,2,4,21,5,200,1,20
2022,3,1,18,52,1,2,5,3,1,800,1,15
2022,3,5,15,55,5,2,5,21,1,500,1,22
2022,3,7,22,55,1,2,4,21,8,2000,1,20
2022,3,5,15,55,5,2,5,1,1,300,1,22
2022,3,5,19,55,2,2,2,1,1,1800,1,22
2022,3,2,11,32,1,2,2,30,1,2000,1,24
